lemma,english,aux,ich,du,er,ihr,wir,Sie,partizip,preps,reflexive,past,case,trennbar
verzichten,"to forgo, do without",haben,verzichte,verzichtest,verzichtet,verzichtet,verzichten,verzichten,verzichtt,auf,FALSE,verzichtete,Akk,FALSE
warnen,to warn,haben,warne,warnst,warnt,warnt,warnen,warnen,gewarnt,vor,FALSE,warnte,Akk,FALSE
hingegen,"whereas, however",haben,hingege,hingegst,hingegt,hingegt,hingegen,hingegen,gehingegt,,FALSE,hingegte,Akk,TRUE
nein,no,haben,neie,neist,neit,neit,nein,nein,nö,,FALSE,neite,Akk,FALSE
beenden,to end sth. finish sth.,haben,beende,beendest,beendet,beendet,beenden,beenden,beendet,,FALSE,beendete,Akk,FALSE
besitzen,"to possess, own, occupy",haben,besitze,besitzt,besitzt,besitzt,besitzen,besitzen,besessen,,FALSE,besitzte,Akk,FALSE
beweisen,to prove,haben,beweise,beweist,beweist,beweist,beweisen,beweisen,bewiesen,,FALSE,beweiste,Akk,FALSE
bezahlen,to pay,haben,bezahle,bezahlst,bezahlt,bezahlt,bezahlen,bezahlen,bezahlt,für,FALSE,bezahlte,Akk,FALSE
enden,to end,haben,ende,endest,endet,endet,enden,enden,geendet,mit,FALSE,endete,Akk,FALSE
greifen,"to take hold of, reach",haben,greife,greifst,greift,greift,greifen,greifen,gegriffen,,FALSE,greifte,Akk,FALSE
herrschen,"to rule, prevail",haben,herrsche,herrschst,herrscht,herrscht,herrschen,herrschen,geherrscht,,FALSE,herrschte,Akk,TRUE
informieren,to inform,haben,informiere,informierst,informiert,informiert,informieren,informieren,informiert,über,FALSE,informierierte,Akk,FALSE
lauten,"to be (answer), to sound",haben,laute,lautest,lautet,lautet,lauten,lauten,gelautet,,FALSE,lautete,Akk,FALSE
mitteilen,to inform,haben,mitteile,mitteilst,mitteilt,mitteilt,mitteilen,mitteilen,mitgeteilt,,FALSE,mitteilte,Akk,TRUE
organisieren,to organize,haben,organisiere,organisierst,organisiert,organisiert,organisieren,organisieren,organisiert,,FALSE,organisierte,Akk,FALSE
passen,"to fit, suit, pass",haben,passe,passt,passt,passt,passen,passen,gepasst,,FALSE,passte,Dat,FALSE
richten,"to direct, repair, follow",haben,richte,richtest,richtet,richtet,richten,richten,gerichtet,,FALSE,richtete,Akk,FALSE
sinken,"sink, drop",sein,sinke,sinkst,sinkt,sinkt,sinken,sinken,gesunken,,FALSE,sinkte,Akk,FALSE
stecken,"to put, to be located",haben,stecke,steckst,steckt,steckt,stecken,stecken,gesteckt,,FALSE,steckte,Akk,FALSE
stoßen,"to bump, push",haben,stoße,stoßt,stoßt,stoßt,stoßen,stoßen,gestoßen,,FALSE,stoßte,Akk,FALSE
teilnehmen,"to take part, participate",haben,teilnehme,teilnehmst,teilnehmt,teilnehmt,teilnehmen,teilnehmen,teilgenommen,an,FALSE,teilnehmte,Akk,FALSE
vergessen,to forget,haben,vergesse,vergesst,vergesst,vergesst,vergessen,vergessen,vergessen,,FALSE,vergesste,Infinitiv,FALSE
veröffentlichen,to publish,haben,veröffentliche,veröffentlichst,veröffentlicht,veröffentlicht,veröffentlichen,veröffentlichen,veröffentlicht,,FALSE,veröffentlichte,Akk,FALSE
wohnen,"to live, reside",haben,wohne,wohnst,wohnt,wohnt,wohnen,wohnen,gewohnt,,FALSE,wohnte,Akk,FALSE
grün,green,haben,grüe,grüst,grüt,grüt,grün,grün,gegrüt,,FALSE,grüte,Akk,FALSE
rein,"pure, clear, clean",haben,reie,reist,reit,reit,rein,rein,gereit,,FALSE,reite,Akk,FALSE
begrüßen,to greet,haben,begrüße,begrüßt,begrüßt,begrüßt,begrüßen,begrüßen,begrüßt,,FALSE,begrüßte,Akk,FALSE
besetzen,"to occupy, fill",haben,besetze,besetzt,besetzt,besetzt,besetzen,besetzen,besetzt,,FALSE,besetzte,Akk,FALSE
betreiben,"to proceed w., to operate",haben,betreibe,betreibst,betreibt,betreibt,betreiben,betreiben,betrieben,,FALSE,betreibte,Akk,FALSE
bewegen,to move,haben,bewege,bewegst,bewegt,bewegt,bewegen,bewegen,bewegt,,FALSE,bewegte,Akk,FALSE
diskutieren,to discuss,haben,diskutiere,diskutierst,diskutiert,diskutiert,diskutieren,diskutieren,diskutiert,mit; über,FALSE,diskutierierte,Akk,FALSE
drehen,to turn,haben,drehe,drehst,dreht,dreht,drehen,drehen,gedreht,,FALSE,drehte,Akk,FALSE
einstellen,"to adjust, employ, stop",haben,einstelle,einstellst,einstellt,einstellt,einstellen,einstellen,eingestellt,,FALSE,einstellte,Akk,TRUE
erläutern,to explain,haben,erläutere,erläuterst,erläutert,erläutert,erläutern,erläutern,erläutert,,FALSE,erläuterte,Akk,FALSE
ermöglichen,to enable,haben,ermögliche,ermöglichst,ermöglicht,ermöglicht,ermöglichen,ermöglichen,ermöglicht,,FALSE,ermöglichte,Akk,FALSE
geschehen,"to happen, occur",sein,geschehe,geschehst,gescheht,gescheht,geschehen,geschehen,geschehen,,FALSE,geschehte,Akk,FALSE
gestalten,"to shape, design",haben,gestalte,gestaltest,gestaltet,gestaltet,gestalten,gestalten,gestaltet,,FALSE,gestaltete,Akk,FALSE
interessieren,to interest,haben,interessiere,interessierst,interessiert,interessiert,interessieren,interessieren,interessiert,für,FALSE,interessierierte,Akk,FALSE
prüfen,"to examine, check",haben,prüfe,prüfst,prüft,prüft,prüfen,prüfen,geprüft,,FALSE,prüfte,Akk,FALSE
retten,"to save, rescue",haben,rette,rettest,rettet,rettet,retten,retten,gerettet,,FALSE,rettete,Akk,FALSE
sammeln,"to collect, gather",haben,sammele,sammelst,sammelt,sammelt,sammeln,sammeln,gesammelt,,FALSE,sammelte,Akk,FALSE
schauen,to look,haben,schaue,schaust,schaut,schaut,schauen,schauen,geschaut,,FALSE,schaute,Akk,FALSE
schützen,to protect,haben,schütze,schützt,schützt,schützt,schützen,schützen,geschützt,vor,FALSE,schützte,Akk,FALSE
töten,to kill,haben,töte,tötest,tötet,tötet,töten,töten,getötet,,FALSE,tötete,Akk,FALSE
umfassen,"to include, consist of",haben,umfasse,umfasst,umfasst,umfasst,umfassen,umfassen,umfasst,,FALSE,umfasste,Akk,FALSE
verfügen,"to have at oneâ€™s disposal, be in charge",haben,verfüge,verfügst,verfügt,verfügt,verfügen,verfügen,verfügt,,FALSE,verfügte,Akk,FALSE
verurteilen,to condemn,haben,verurteile,verurteilst,verurteilt,verurteilt,verurteilen,verurteilen,verurteilt,,FALSE,verurteilte,Akk,FALSE
verweisen,to refer,haben,verweise,verweist,verweist,verweist,verweisen,verweisen,verwiesen,,FALSE,verweiste,Akk,FALSE
betroffen,"affected, concerned, shocked",haben,betroffe,betroffst,betrofft,betrofft,betroffen,betroffen,betrofft,,FALSE,betroffte,Akk,FALSE
vorhanden,"available, existing",haben,vorhande,vorhandest,vorhandet,vorhandet,vorhanden,vorhanden,gevorhandt,,FALSE,vorhandete,Akk,TRUE
ablehnen,"to refuse, reject, turn down",haben,ablehne,ablehnst,ablehnt,ablehnt,ablehnen,ablehnen,abgelehnt,,FALSE,ablehnte,Akk,TRUE
antreten,"to take up, start",haben,antrete,antretest,antretet,antretet,antreten,antreten,angetreten,,FALSE,antretete,Akk,TRUE
aufbauen,to build up,haben,aufbaue,aufbaust,aufbaut,aufbaut,aufbauen,aufbauen,aufgebaut,,FALSE,aufbaute,Akk,TRUE
begleiten,to accompany,haben,begleite,begleitest,begleitet,begleitet,begleiten,begleiten,begleitet,,FALSE,begleitete,Akk,FALSE
behandeln,to treat,haben,behandele,behandelst,behandelt,behandelt,behandeln,behandeln,behandelt,,FALSE,behandelte,Akk,FALSE
behaupten,"to claim, maintain",haben,behaupte,behauptest,behauptet,behauptet,behaupten,behaupten,behauptet,,FALSE,behauptete,Akk,FALSE
beschäftigen,"to employ, be busy, deal with",haben,beschäftige,beschäftigst,beschäftigt,beschäftigt,beschäftigen,beschäftigen,beschäftigt,mit,FALSE,beschäftigte,Akk,FALSE
betrachten,"to look at, consider",haben,betrachte,betrachtest,betrachtet,betrachtet,betrachten,betrachten,betrachtet,,FALSE,betrachtete,Akk,FALSE
betreffen,"to affect, concern",haben,betreffe,betreffst,betrefft,betrefft,betreffen,betreffen,betroffen,,FALSE,betreffte,Akk,FALSE
beziehen,"to refer, put, get",haben,beziehe,beziehst,bezieht,bezieht,beziehen,beziehen,bezogen,auf,FALSE,beziehte,Akk,FALSE
brechen,to break,haben,breche,brechst,brecht,brecht,brechen,brechen,gebrochen,,FALSE,brechte,Akk,FALSE
erfüllen,"to grant, fulfill",haben,erfülle,erfüllst,erfüllt,erfüllt,erfüllen,erfüllen,erfüllt,,FALSE,erfüllte,Akk,FALSE
ergänzen,"to add, complete",haben,ergänze,ergänzt,ergänzt,ergänzt,ergänzen,ergänzen,ergänzt,,FALSE,ergänzte,Akk,FALSE
erlauben,"to allow, permit",haben,erlaube,erlaubst,erlaubt,erlaubt,erlauben,erlauben,erlaubt,,FALSE,erlaubte,Akk,FALSE
errichten,"to build, erect",haben,errichte,errichtest,errichtet,errichtet,errichten,errichten,errichtet,,FALSE,errichtete,Akk,FALSE
ersetzen,"to replace, reimburse",haben,ersetze,ersetzt,ersetzt,ersetzt,ersetzen,ersetzen,ersetzt,,FALSE,ersetzte,Akk,FALSE
feststellen,"to establish, detect",haben,feststelle,feststellst,feststellt,feststellt,feststellen,feststellen,festgestellt,,FALSE,feststellte,Akk,TRUE
fliegen,to fly,sein,fliege,fliegst,fliegt,fliegt,fliegen,fliegen,geflogen,mit; nach,FALSE,fliegte,Akk,FALSE
funktionieren,"to function, work",haben,funktioniere,funktionierst,funktioniert,funktioniert,funktionieren,funktionieren,funktioniert,,FALSE,funktionierierte,Akk,FALSE
gefallen,"to please, to appeal to",haben,gefalle,gefallst,gefallt,gefallt,gefallen,gefallen,gefallen,,FALSE,gefallte,Dat,FALSE
landen,to land,sein/haben,lande,landest,landet,landet,landen,landen,gelandet,,FALSE,landete,Akk,FALSE
schätzen,to estimate,haben,schätze,schätzt,schätzt,schätzt,schätzen,schätzen,geschätzt,,FALSE,schätzte,Akk,FALSE
überraschen,to surprise,haben,überrasche,überraschst,überrascht,überrascht,überraschen,überraschen,überrascht,,FALSE,überraschte,Akk,FALSE
veranstalten,to organize,haben,veranstalte,veranstaltest,veranstaltet,veranstaltet,veranstalten,veranstalten,veranstaltet,,FALSE,veranstaltete,Akk,FALSE
vergeben,to award,haben,vergebe,vergebst,vergebt,vergebt,vergeben,vergeben,vergeben,,FALSE,vergebte,Akk,FALSE
verschwinden,to disappear,sein,verschwinde,verschwindest,verschwindet,verschwindet,verschwinden,verschwinden,verschwunden,,FALSE,verschwindete,Akk,FALSE
vorsehen,to plan,haben,vorsehe,vorsehst,vorseht,vorseht,vorsehen,vorsehen,vorgesehen,,FALSE,vorsehte,Akk,TRUE
zwingen,to force,haben,zwinge,zwingst,zwingt,zwingt,zwingen,zwingen,gezwungen,,FALSE,zwingte,Akk,FALSE
