#;German;English;German example sentence;English translation;Category;Masri;Gender;Conjugation;English in sentence;_1;_2;_3
825;Bullen;cops (slang);Die Bullen sind gerade unterwegs.;The cops are on the way right now.;noun;شرطة / كلاب البوليس (slang قوي);m;;cops;;;
826;gold;gold;Das Armband ist echt aus Gold.;The bracelet is really made of gold.;noun;دهب;n;;gold;;;
827;starten;to start / launch (machine/event);Wir starten in fünf Minuten.;We start in five minutes.;verb;يبدأ / ينطلق;;;start;;;
828;Baum;tree;Der Baum ist echt hoch.;The tree is really tall.;noun;شجرة;m;;tree;;;
829;menschliche;human;Das ist ein menschlicher Fehler.;That is a human mistake.;adjective;بشري / إنساني;;;human;;;
830;dick;fat / thick;Das Buch ist ziemlich dick.;The book is quite thick.;adjective;تخين / سميك;;;thick;;;
831;warm;warm;Es ist heute sehr warm.;It is very warm today.;adjective;دافي;;;warm;;;
832;entspann;relax (imperative / stem);Entspann dich ein bisschen!;Relax a little!;verb;استرخي;;;Relax;;;
833;dritte;third;Es ist das dritte Mal.;It’s the third time.;adjective;التالت;;;third;;;
834;irgendwann;someday / sometime;Irgendwann werde ich reisen.;Someday I will travel.;adverb;في أي وقت / يومًا ما;;;Someday;;;
835;Erinnerung;memory (of something);Ich habe keine Erinnerung daran.;I have no memory of that.;noun;ذكرى;f;;memory;;;
836;Mark;Mark (name or old currency);Mark kommt gleich.;Mark is coming soon.;noun;مارك (اسم);f;;Mark;;;
837;jedenfalls;anyway / in any case;Jedenfalls bin ich froh, hier zu sein.;Anyway, I’m glad to be here.;adverb;على أي حال;;;Anyway;;;
838;kaputt;broken;Mein Handy ist kaputt.;My phone is broken.;adjective;بايظ / مكسور;;;broken;;;
839;hoffentlich;hopefully;Hoffentlich regnet es nicht.;Hopefully it won’t rain.;adverb;يا رب / إن شاء الله;;;Hopefully;;;
840;Hoffnung;hope;Ich gebe die Hoffnung nicht auf.;I’m not giving up hope.;noun;أمل;f;;hope;;;
842;sowieso;anyway;Wir gehen sowieso nach Hause.;We’re going home anyway.;adverb;أصلاً / في كل الأحوال;;;anyway;;;
843;leise;quiet;Sei bitte leise!;Please be quiet!;adjective;واطي / بصوت هادي;;;quiet;;;
844;unbedingt;definitely / no matter what / must;Ich muss das unbedingt sehen.;I absolutely have to see that.;adverb;لازم جدًا / ضروري;;;absolutely;;;
845;trauen;to trust / dare;Ich traue ihm nicht.;I don’t trust him.;verb;يثق / يجرؤ;;traue;trust;;;
846;zumindest;at least (logical);Zumindest hast du es versucht.;At least you tried.;adverb;على الأقل;;;At least;;;
847;Überraschung;surprise;Was für eine schöne Überraschung!;What a lovely surprise!;noun;مفاجأة;f;;surprise;;;
848;runde;round;Wir spielen noch eine Runde.;We’ll play another round.;noun;جولة / لفة;f;;round;;;
849;bisher;so far;Bisher läuft alles gut.;So far everything is going well.;adverb;لحد دلوقتي / حتى الآن;;;So far;;;
850;heil;safe / unharmed;Zum Glück bist du heil angekommen.;Luckily you arrived unharmed.;adjective;سليم / متشافى;;;unharmed;;;
851;Drogen;drugs;Er verkauft keine Drogen.;He doesn't sell drugs.;noun;مخدرات;f;;drugs;;;
852;Hunger;hunger;Ich habe großen Hunger.;I am very hungry.;noun;جوع;m;;hungry;;;
853;offensichtlich;obviously;Das ist offensichtlich falsch.;That is obviously wrong.;adverb;واضح / باين;;;obviously;;;
854;gewarnt;warned;Ich habe dich gewarnt.;I warned you.;verb;متحذّر / اتنبه;;;warned;;;
855;Held;hero;Er ist echt ein echter Held.;He is really a real hero.;noun;بطل;m;;hero;;;
856;neben;next to / beside;Ich sitze neben dir.;I am sitting next to you.;prep;جنب;;;next to;;;
857;ergibt;results in / makes sense;Das ergibt keinen Sinn.;That makes no sense.;verb;ينتج / يطلع منه;;;makes;;;
859;gesund;healthy;Du siehst gesund aus.;You look healthy.;adjective;صحي / سليم;;;healthy;;;
860;Patienten;patients;Die Patienten müssen warten.;The patients have to wait.;noun;مرضى;m;;patients;;;
861;erwähnt;mentioned;Wie ich schon erwähnt habe...;As I already mentioned...;verb;متذكور / اتقال;;;mentioned;;;
862;sauer;angry / sour;Ich bin sauer auf dich.;I’m angry at you.;adjective;مزعّل / عصبي / حامض (food);;;angry;;;
863;brennt;burns;Das Feuer brennt noch.;The fire is still burning.;verb;بيولع / بيحرق;;;burning;;;
864;Glas;glass;Das Glas ist echt halb voll.;The glass is really half full.;noun;إزاز;n;;glass;;;
865;Geburtstag;birthday;Heute ist mein Geburtstag.;Today is my birthday.;noun;عيد ميلاد;m;;birthday;;;
866;Gericht;court / dish;Das Gericht entscheidet morgen.;The court decides tomorrow.;noun;محكمة / طبق (حسب السياق);n;;court;;;
867;nerven;to annoy;Hör auf, mich zu nerven.;Stop annoying me.;verb;يعصب / يضايق;;;annoying;;;
868;angekommen;arrived;Der Zug ist echt angekommen.;The train really has arrived.;verb;وِصل;;;arrived;;;
869;vergeben;to forgive / taken;Ich habe ihm vergeben.;I forgave him.;verb;يسامح;;;forgave;;;
870;entdeckt;discovered;Wir haben etwas entdeckt.;We discovered something.;verb;اكتشف;;;discovered;;;
871;Maschine;machine;Die Maschine ist echt kaputt.;The machine is really broken.;noun;ماكينة / آلة;f;;machine;;;
872;übel;nauseous / awful;Mir ist übel.;I feel nauseous.;adjective;وحش / تعبان;;;nauseous;;;
873;mitgebracht;brought along;Ich habe Kuchen mitgebracht.;I brought cake.;verb;جابه معاه;;;brought;;;
874;Regierung;government;Die Regierung plant neue Regeln.;The government plans new rules.;noun;حكومة;f;;government;;;
876;unterschied;difference;Der Unterschied ist echt wichtig.;The difference is really important.;noun;اختلاف / فرق;m;;difference;;;
877;unschuldig;innocent;Er ist echt unschuldig.;He is really innocent.;adjective;بريء;;;innocent;;;
878;Schicksal;fate;Das ist echt mein Schicksal.;That is really my fate.;noun;قدر / نصيب;n;;fate;;;
879;Armee;army;Die Armee marschiert weiter.;The army marches on.;noun;جيش;f;;army;;;
880;schlampe;slut (insult);Sie hat ihn eine Schlampe genannt.;She called him a slut.;noun;قحبة / واحدة قليلة الأدب (شتيمة قوية);f;;slut;;;
881;klingelt;rings (phone / door);Das Telefon klingelt.;The phone is ringing.;verb;بيرنّ;;;ringing;;;
882;Nase;nose;Meine Nase läuft.;My nose is running.;noun;مناخير;f;;nose;;;
883;schuldig;guilty;Ich bin nicht schuldig.;I am not guilty.;adjective;مذنب;;;guilty;;;
884;lächeln;to smile;Sie kann so schön lächeln.;She can smile so beautifully.;verb;يبتسم;;;smile;;;
885;angestellt;hired / employed;Er ist echt dort angestellt.;He is really employed there.;adjective;موظّف;;;employed;;;
886;Tante;aunt;Meine Tante wohnt in Berlin.;My aunt lives in Berlin.;noun;خالة / عمة;f;;aunt;;;
887;Kirche;church;Die Kirche ist echt alt.;The church is really old.;noun;كنيسة;f;;church;;;
888;betrunken;drunk;Er war gestern betrunken.;He was drunk yesterday.;adjective;سكران;;;drunk;;;
889;Hose;pants;Deine Hose ist kaputt.;Your pants are torn.;noun;بنطلون;f;;pants;;;
890;verdächtigen;to suspect;Wir verdächtigen ihn.;We suspect him.;noun;يشكّ في / يشتبه;m;;suspect;;;
891;Bord;board (on board);Willkommen an Bord!;Welcome on board!;noun;سطح / على متن;n;;board;;;
892;Untertitel;subtitles;Der Film hat Untertitel.;The movie has subtitles.;noun;ترجمة مكتوبة;m;;subtitles;;;
893;Situation;situation;Die Situation ist echt ernst.;The situation is really serious.;noun;موقف / حالة;f;;situation;;;
894;übrig;left / remaining;Es ist nichts übrig.;Nothing is left.;adjective;متبقّي;;;left;;;
895;irgendwelche;any / some kind of;Hast du irgendwelche Fragen?;Do you have any questions?;pronoun;أيّ / أيّ نوع;;;any;;;
896;unternehmen;to undertake / to do;Lass uns etwas unternehmen.;Let's do something.;verb;يعمل نشاط / يقوم بـ;;;do;;;
897;erlebt;experienced;Ich habe so etwas noch nie erlebt.;I’ve never experienced something like that.;verb;عاش / مرّ بـ;;;experienced;;;
898;Lied;song;Das ist echt mein Lieblingslied.;That is really my favorite song.;noun;أغنية;n;;song;;;
899;vorbreitet;prepared;Ich bin gut vorbereitet.;I am well prepared.;adjective;محضّر / جاهّز;;vorbereitet;prepared;;;
900;ausgehen;to go out;Heute Abend wollen wir ausgehen.;We want to go out tonight.;verb;يخرج;;;go out;;;
901;Stein;stone;Der Stein ist echt schwer.;The stone is really heavy.;noun;حجر;m;;stone;;;
902;vermutlich;presumably;Er kommt vermutlich später.;He’ll probably come later.;adverb;غالبًا / على الأغلب;;;probably;;;
903;Gebӓude;building;Das Gebäude ist echt modern.;The building is really modern.;noun;مبنى;n;Gebäude;building;;;
904;Drink;drink (loanword);Kann ich einen Drink bekommen?;Can I get a drink?;noun;مشروب;m;;drink;;;
905;Grad;degree;Es sind 30 Grad draußen.;It’s 30 degrees outside.;noun;درجة;m;;degrees;;;
907;Majestät;majesty;Eure Majestät, bitte folgen Sie mir.;Your majesty, please follow me.;noun;جلالة / صاحب الجلالة;f;;majesty;;;
908;diesmal;this time;Diesmal mache ich es richtig.;This time I’ll do it right.;adverb;المرة دي;;;This time;;;
909;vertrag;contract;Ich habe den Vertrag unterschrieben.;I signed the contract.;noun;عقد;m;;contract;;;
910;Ehemann;husband;Ihr Ehemann ist sehr freundlich.;Her husband is very friendly.;noun;زوج;m;;husband;;;
911;ha;ha (laugh);Ha! Das war lustig.;Ha! That was funny.;interjection;ها;;;Ha;;;
912;verantwortlich;responsible;Wer ist dafür verantwortlich?;Who is responsible for that?;adjective;مسؤول;;;responsible;;;
913;stöhnt;moans;Er stöhnt vor Schmerzen.;He moans in pain.;verb;يئنّ / يتأوّه;;;moans;;;
914;klopfen;to knock;Jemand klopft an der Tür.;Someone is knocking at the door.;verb;يخبط / يطرق;;klopft;knocking;;;
915;probieren;to try (experience/taste/work);Willst du es probieren?;Do you want to try it?;verb;يجرّب;;;try;;;
916;regen;rain;Der Regen hört nicht auf.;The rain doesn’t stop.;noun;مطر;m;;rain;;;
917;Zeitung;newspaper;Ich lese jeden Morgen die Zeitung.;I read the newspaper every morning.;noun;جريدة / صحيفة;f;;newspaper;;;
918;Kugel;bullet / ball;Die Kugel hat ihn verfehlt.;The bullet missed him.;noun;رصاصة / كرة (حسب السياق);f;;bullet;;;
919;vergnügen;pleasure;Es war mir ein Vergnügen.;It was a pleasure.;noun;متعة;n;;pleasure;;;
920;geklaut;stolen (casual);Jemand hat mein Fahrrad geklaut.;Someone stole my bike.;verb;مسروق;;;stole;;;
921;ball;ball;Wir spielen mit einem Ball.;We are playing with a ball.;noun;كرة;m;;ball;;;
922;klug;smart;Das war eine kluge Entscheidung.;That was a smart decision.;adjective;ذكي;;;smart;;;
923;hinterlassen;to leave behind;Er hat wirklich eine Nachricht hinterlassen.;He really left a message.;verb;يترك وراءه;;;left;;;
924;fantastisch;fantastic;Das Essen schmeckt fantastisch.;The food tastes fantastic.;adjective;رائع;;;fantastic;;;
925;witzig;funny / witty (jokey);Der Film war echt wirklich witzig.;The movie was really really funny.;adjective;مضحك;;;funny;;;
926;gegenüber;opposite / across from;Ich wohne gegenüber von der Schule.;I live across from the school.;prep;قدّام / مقابل;;;across from;;;
928;schmeckt;tastes;Das Essen schmeckt gut.;The food tastes good.;verb;طعمه… / مذاقه…;;;tastes;;;
929;Show;show;Die Show beginnt um acht.;The show starts at eight.;noun;عرض / شو;f;;show;;;
930;verbrannt;burned;Mein Toast ist verbrannt.;My toast is burned.;adjective;متحرق;;;burned;;;
931;Gesellschaft;society;Die Gesellschaft verändert sich.;Society is changing.;noun;مجتمع / صحبة / شركة (حسب السياق);f;;Society;;;
932;miteinander;with each other;Wir sprechen kaum miteinander.;We barely talk to each other.;adverb;مع بعض;;;other;;;
933;aufstehen;to get up;Ich muss früh aufstehen.;I have to get up early.;verb;يقوم / يصحى;;;get up;;;
934;Lust;desire / mood;Ich habe keine Lust.;I’m not in the mood.;noun;مزاج / رغبة;f;;mood;;;
935;verhalten;to act /behave;Er hat sich komisch verhalten.;He behaved strangely.;verb;يتصرف;;;behaved;;;
936;Insel;island;Die Insel ist echt wunderschön.;The island is really beautiful.;noun;جزيرة;f;;island;;;
937;abholen;to pick up;Kannst du mich abholen?;Can you pick me up?;verb;ييجي ياخد / يلتقط;;;pick;;;
938;erfolg;success;Der Plan hatte Erfolg.;The plan was successful.;noun;نجاح;m;;successful;;;
939;Dorf;village;Das Dorf ist echt klein.;The village is really small.;noun;قرية;n;;village;;;
940;abhauen;to run away / escape;Er will abhauen.;He wants to run away.;verb;يمشي / يهرب;;;run away;;;
941;Freude;joy;Sie hat große Freude daran.;She takes great joy in it.;noun;فرحة;f;;joy;;;
942;grenze;border / limit;Die Grenze ist echt geschlossen.;The border is really closed.;noun;حدود;f;;border;;;
943;ran;close / near;Komm ran!;Come closer!;adverb;قرب / تعالى ناحيتي;;;closer;;;
944;nämlich;namely / actually;Ich bin müde, ich habe nämlich nicht geschlafen.;I’m tired, because I actually didn’t sleep.;adverb;أصلًا / يعني;;;actually;;;
945;aufgetaucht;appeared;Er ist plötzlich aufgetaucht.;He suddenly appeared.;verb;ظهر;;;appeared;;;
946;beten;to pray;Wir beten jeden Abend.;We pray every evening.;verb;يصلي;;;pray;;;
947;loch;hole;Da ist ein Loch im Boden.;There is a hole in the ground.;noun;فتحة / حفرة;n;;hole;;;
948;Gruppe;group;Die Gruppe ist echt groß.;The group is really large.;noun;مجموعة;f;;group;;;
949;grüß;greet;Grüß deine Mutter von mir.;Greet your mother from me.;verb;سلّم على / بلّغ سلامي;;;Greet;;;
950;fliehen;to flee;Die Gefangenen versuchen zu fliehen.;The prisoners are trying to escape.;verb;يهرب;;;escape;;;
951;grün;green;Das Gras ist grün.;The grass is green.;adjective;أخضر;;;green;;;
952;Zeichen;sign / symbol;Das ist echt ein gutes Zeichen.;That is really a good sign.;noun;علامة / إشارة;n;;sign;;;
953;heim;home;Er kommt spät heim.;He comes home late.;adverb;بيت;;;home;;;
954;Tee;tea;Ich trinke gern Tee.;I like drinking tea.;noun;شاي;m;;tea;;;
955;übrigens;by the way;Übrigens, du hast einen Anruf.;By the way, you got a call.;adverb;بالمناسبة;;;By the way;;;
956;bombe;bomb;Die Bombe ist echt explodiert.;The bomb really exploded.;noun;قنبلة / جامد جدًا (slang);f;;bomb;;;
957;eis;ice;Das Eis schmilzt schnell.;The ice melts quickly.;noun;تلج / آيس كريم;n;;ice;;;
958;quatsch;rubbish /nonsense;Das ist echt doch Quatsch!;That's really nonsense!;noun;كلام فارغ / هري;m;;nonsense;;;
959;nervös;nervous;Ich bin vor Prüfungen immer nervös.;I'm always nervous before exams.;adjective;متوتر;;;nervous;;;
960;soweit;so far / as far as;Soweit ich weiß, stimmt das.;As far as I know, that’s correct.;adverb;لحد هنا / لحد دلوقتي;;;As far as;;;
961;indem;by (doing something);Indem du lernst, wirst du besser.;By studying, you become better.;conjunction;عن طريق;;;By;;;
962;Blumen;flowers;Ich habe Blumen gekauft.;I bought flowers.;noun;ورد;f;;flowers;;;
963;unterschreiben;to sign;Wo soll ich unterschreiben?;Where should I sign?;verb;يوقّع;;;sign;;;
964;Achtung;attention / caution;Achtung, da kommt ein Auto!;Watch out, a car is coming!;noun;انتبه / خد بالك;f;;Watch;;;
965;empfangen;to receive (ceremonical);Wir haben das Signal empfangen.;We received the signal.;verb;يستقبل;;;received;;;
966;erscheinen;to appear;Plötzlich erschien er vor der Tür.;Suddenly he appeared at the door.;verb;يظهر;;erschien;appeared;;;
967;bemerkt;noticed;Ich habe das nicht bemerkt.;I didn’t notice that.;verb;لاحظ;;;notice;;;
968;hals;neck / throat;Mein Hals tut weh.;My throat hurts.;noun;رقبة;m;;throat;;;
969;flucht;escape;Die Flucht ist echt gelungen.;The escape really succeeded.;noun;هروب;f;;escape;;;
970;kapiert;understood (informal);Ich habe es endlich kapiert.;I finally understood it.;verb;فهم;;;understood;;;
971;Don;Don (name / title);Don kommt später.;Don is coming later.;noun;دون (اسم);m;;Don;;;
972;Weihnachten;Christmas;Weihnachten ist mein Lieblingsfest.;Christmas is my favorite holiday.;noun;عيد الميلاد (الكريسماس);n;;Christmas;;;
975;Vergangenheit;past;Die Vergangenheit lässt sich nicht ändern.;The past cannot be changed.;noun;الماضي;f;;past;;;
976;entweder;either;Entweder du kommst, oder du bleibst.;Either you come or you stay.;conjunction;إمّا / يا… يا…;;;Either;;;
977;Sheriff;sheriff;Der Sheriff untersucht den Fall.;The sheriff is investigating the case.;noun;شِريف / عمدة (حسب السياق);m;;sheriff;;;
978;geheim;secret / secretive / confidential;Das ist streng geheim.;That is top secret.;adjective;سرّي;;;secret;;;
979;weder;neither;Weder er noch sie war da.;Neither he nor she was there.;conjunction;لا… ولا…;;;Neither;;;
980;anziehen;to put on (clothes);Ich muss mich schnell anziehen.;I need to get dressed quickly.;verb;يلبس / يرتدي;;;get dressed;;;
981;jawohl;yes sir / certainly;Jawohl, das mache ich!;Yes sir, I will do that!;interjection;تمام! / حاضر! (بحماس);;;Yes sir;;;
982;Gespräch;conversation;Wir hatten ein langes Gespräch.;We had a long conversation.;noun;محادثة / كلام;n;;conversation;;;
983;ungefähr;approximately;Es dauert ungefähr zehn Minuten.;It takes about ten minutes.;adverb;تقريبًا;;;about;;;
984;entkommen;to escape;Der Täter ist echt entkommen.;The perpetrator really escaped.;verb;يهرب;;;escaped;;;
985;zuvor;previously;Wie gesagt, ich war zuvor dort.;As I said, I was there before.;adverb;قبل كده / سابقًا;;;before;;;
987;Amerika;America;Amerika ist weit weg.;America is far away.;noun;أمريكا;n;;America;;;
988;bestellt;ordered;Ich habe Pizza bestellt.;I ordered pizza.;verb;طلب (أوردر);;;ordered;;;
989;verboten;forbidden;Rauchen ist hier verboten.;Smoking is forbidden here.;adjective;ممنوع;;;forbidden;;;
990;glückwunsch;congratulations;Herzlichen Glückwunsch!;Congratulations!;noun;مبروك;m;;Congratulations;;;
991;Königin;queen;Die Königin hält eine Rede.;The queen is giving a speech.;noun;ملكة;f;;queen;;;
992;Staaten;states;Die Vereinigten Staaten sind echt groß.;The United States are really large.;noun;ولايات;m;;States;;;
993;Adresse;address;Was ist deine Adresse?;What is your address?;noun;عنوان;f;;address;;;
994;Messer;knife;Das Messer ist echt scharf.;The knife is really sharp.;noun;سكينة;n;;knife;;;
995;Meer;sea;Das Meer ist ruhig heute.;The sea is calm today.;noun;بحر;n;;sea;;;
996;drinnen;inside;Wir bleiben heute drinnen.;We'll stay inside today.;adverb;جوّه;;;inside;;;
997;behauptet;claimed;Er behauptet, es nicht getan zu haben.;He claims he didn’t do it.;verb;ادّعى / قال كلام مش مؤكد;;;claims;;;
998;mitkommen;to come along;Willst du mitkommen?;Do you want to come along?;verb;;;;come along;;;
999;herein;come in;Komm bitte herein!;Please come in!;adverb;ادخل / جوّه;;;come in;;;
1000;Prinzessin;princess;Die Prinzessin ist echt mutig.;The princess is really brave.;noun;أميرة;f;;princess;;;
1001;Güte;goodness / kindness;Er hat aus reiner Güte geholfen.;He helped out of pure kindness.;noun;لطف / طيبة;f;;kindness;;;
1002;ernsthaft;seriously;Meinst du das ernsthaft?;Do you mean that seriously?;adverb;بجد;;;seriously;;;
1003;Mission;mission;Die Mission ist echt gefährlich.;The mission is really dangerous.;noun;مهمة;f;;mission;;;
1004;Flasche;bottle;Die Flasche ist echt leer.;The bottle is really empty.;noun;إزازة;f;;bottle;;;
1005;worauf;what… on / what for;Worauf wartest du?;What are you waiting for?;adverb;على إيه;;;What;;;
1006;ähnlich;similar;Die beiden sind echt sich ähnlich.;The two are really similar.;adjective;شبه / زي;;;similar;;;
1007;scherz;joke / prank;Das war echt nur ein Scherz.;That was really just a joke.;noun;هزار;m;;joke;;;
1008;aussage;statement;Seine Aussage war klar.;His statement was clear.;noun;تصريح / شهادة;f;;statement;;;
1009;beeindruckt;impressed;Ich bin beeindruckt von dir.;I’m impressed by you.;adjective;مبهور;;;impressed;;;
1010;befreien;to free;Wir müssen sie befreien.;We must free her.;verb;يحرّر / يخلّص;;;free;;;
1011;tausend;thousand;Es kostet tausend Euro.;It costs a thousand euros.;number;ألف;;;thousand;;;
1012;Katze;cat;Die Katze schläft.;The cat is sleeping.;noun;قطة;f;;cat;;;
1013;schwanger;pregnant;Sie ist schwanger.;She is pregnant.;adjective;حامل;;;pregnant;;;
1014;Monster;monster;Das Monster versteckt sich.;The monster is hiding.;noun;وحش;n;;monster;;;
1015;England;England;England ist kalt im Winter.;England is cold in winter.;noun;إنجلترا;n;;England;;;
1016;wiederhole;repeat;Bitte wiederhole das.;Please repeat that.;verb;أكرر;;;repeat;;;
1017;Schwanz;tail / dick (slang);Der Hund wedelt mit dem Schwanz.;The dog wags its tail.;noun;ذيل;m;;tail;;;
1019;Frühstück;breakfast;Das Frühstück ist echt fertig.;Breakfast is really ready.;noun;فطار;n;;Breakfast;;;
1020;Gegend;area / neighborhood;Die Gegend ist echt ruhig.;The area is really quiet.;noun;منطقة;f;;area;;;
1021;Tor;gate / goal;Das Tor ist echt offen.;The gate is really open.;noun;باب / جول;n;;gate;;;
1022;unterhalten;to chat / entertain;Wir haben uns lange unterhalten.;We talked for a long time.;verb;يتسلى / يتكلم;;;talked;;;
1023;fern;far / distant;Das Dorf liegt fern von hier.;The village lies far from here.;adverb;بعيد;;;far;;;
1024;post;mail;Ich bekomme selten Post.;I rarely get mail.;noun;بوستا / بريد;f;;mail;;;
1025;benehmen;to behave (manners);Benimm dich bitte!;Please behave!;verb;يتصرف;;Benimm;behave;;;
1026;bestätigt;confirmed;Das wurde offiziell bestätigt.;That was officially confirmed.;adjective;مؤكّد;;;confirmed;;;
1027;teuer;expensive;Das Auto ist sehr teuer.;The car is very expensive.;adjective;غالي;;;expensive;;;
1028;kontrollieren;to check / control;Ich muss das kurz kontrollieren.;I need to check that briefly.;verb;يراقب / يتحكم;;;check;;;
1029;Mädels;girls (informal);Kommt her, Mädels!;Come here, girls!;noun;بنات;n;;girls;;;
1030;Sterne;stars;Die Sterne sind heute klar zu sehen.;The stars are easy to see tonight.;noun;نجوم;m;;stars;;;
1031;konzentrieren;to concentrate;Ich kann mich nicht konzentrieren.;I can’t concentrate.;verb;يركّز;;;concentrate;;;
1032;gilt;applies;Diese Regel gilt für alle.;This rule applies to everyone.;verb;يُعتبر / ينطبق;;;applies;;;
1033;akzeptieren;to accept;Ich kann das nicht akzeptieren.;I can’t accept that.;verb;يقبل;;;accept;;;
1034;gebissen;bitten;Der Hund hat mich gebissen.;The dog bit me.;verb;متعضوض;;;bit;;;
1035;leiten;to lead / manage;Sie leitet ein großes Team.;She manages a large team.;verb;يقود / يوجّه;;leitet;manages;;;
1036;hingehen;to go there;Wohin willst du hingehen?;Where do you want to go?;verb;يروح;;;to;;;
1037;Kunden;customers;Die Kunden sind echt zufrieden.;The customers are really satisfied.;noun;زباين / عملاء;m;;customers;;;
1038;Brücke;bridge;Die Brücke ist echt alt.;The bridge is really old.;noun;كبري / جسر;f;;bridge;;;
1039;Hälfte;the half (noun);Ich nehme die Hälfte.;I’ll take half.;noun;نص;f;;half;;;
1040;zurückkehren;to return;Wann wirst du zurückkehren?;When will you return?;verb;يرجع;;;return;;;
1041;lächerlich;ridiculous;Das ist doch lächerlich!;That’s ridiculous!;adjective;سخيف / يضحّك;;;ridiculous;;;
1042;Gehirn;the brain (organ itself);Das Gehirn ist echt komplex.;The brain is really complex.;noun;مخ;n;;The brain;;;
1044;Küche;kitchen;Die Küche ist echt neu.;The kitchen is really new.;noun;مطبخ;f;;kitchen;;;
1045;neun;nine;Er hat neun Katzen.;He has nine cats.;number;تسعة;;;nine;;;
1046;Zweifel;the doubt (itself);Ich habe keinen Zweifel daran.;I have no doubt about it.;noun;شك / شكوك;m;;doubt;;;
1047;stammt;originates from;Das Wort stammt aus dem Lateinischen.;The word originates from Latin.;verb;أصلُه / جاي من;;;originates from;;;
1048;sowas;something like that;Sowas habe ich noch nie gesehen.;I’ve never seen something like that.;pronoun;حاجة زي دي / زي كده;;;something like that;;;
1049;stich;stab / sting;Der Stich tut weh.;The sting hurts.;noun;لدغة / غرزة;m;;sting;;;
1050;herzlichen;heartfelt / sincere;Herzlichen Dank für alles!;Sincere thanks for everything!;adjective;من القلب / بكل قلب;;;Sincere;;;
1051;begriff;term / concept;Das ist echt ein schwieriger Begriff.;That is really a difficult term.;noun;مفهوم / مصطلح;m;;term;;;
1052;anklage;accusation / charge;Die Anklage ist echt ernst.;The charge is really serious.;noun;اتهام;f;;charge;;;
1053;begleiten;to accompany;Kannst du mich begleiten?;Can you accompany me?;verb;يرافق;;;accompany;;;
1054;Schwierigkeiten;difficulties;Wir hatten große Schwierigkeiten.;We had big difficulties.;noun;صعوبات / مشاكل;f;;difficulties;;;
1055;untersuchen;to investigate / examine;Der Arzt wird dich untersuchen.;The doctor will examine you.;verb;يفحص / يحقق;;;examine;;;
1056;reinkommen;to come in;Darf ich reinkommen?;May I come in?;verb;يدخل / يخش;;;come in;;;
1057;richten;to direct / to aim;Richte deine Aufmerksamkeit hierhin.;Direct your attention here.;verb;يوجّه / يحكم (قانون);;Richte;Direct;;;
1058;erschreckt;frightened (for a short time);Das Kind war echt erschreckt.;The child was really frightened.;adjective;اتخضّ / اتفزع;;;frightened;;;
1059;Freiheit;freedom;Freiheit ist wichtig.;Freedom is important.;noun;حرية;f;;Freedom;;;
1060;Interesse;interest;Ich habe großes Interesse daran.;I have great interest in that.;noun;اهتمام;n;;interest;;;
1061;Unsinn;nonsense/ absurd;Das ist echt völliger Unsinn!;That is really complete nonsense!;noun;كلام فاضي / هبل;m;;nonsense;;;
1062;reiten;to ride;Sie reitet gern Pferde.;She likes to ride horses.;verb;يركب حصان;;reitet;ride;;;
1063;sieg;victory;Der Sieg war echt verdient.;The victory was really deserved.;noun;فوز / نصر;m;;victory;;;
1064;Prinz;prince;Der Prinz betritt den Saal.;The prince enters the hall.;noun;أمير;m;;prince;;;
1065;existiert;exists;So etwas existiert nicht.;Such a thing doesn’t exist.;verb;موجود;;;exist;;;
1066;verschiedene;various / different;Es gibt verschiedene Möglichkeiten.;There are various possibilities.;adjective;مختلفة;;;various;;;
1067;pro;per / for;Fünf Euro pro Person.;Five euros per person.;prep;لكل / مقابل;;;per;;;
1068;See;lake;Der See ist echt tief.;The lake is really deep.;noun;بحيرة;m;;lake;;;
1069;Auftrag;assignment / order;Ich habe einen wichtigen Auftrag.;I have an important assignment.;noun;مهمة / تكليف / طلبية;m;;assignment;;;
1070;Respekt;respect;Er verdient Respekt.;He deserves respect.;noun;احترام;m;;respect;;;
1071;zufrieden;satisfied;Ich bin sehr zufrieden.;I am very satisfied.;adjective;راضي / مبسوط;;;satisfied;;;
1072;rauskommen;to get out;Wie soll ich hier rauskommen?;How should I get out of here?;verb;يطلع / يخرج;;;get out;;;
1073;Oberst;colonel;Der Oberst gab den Befehl.;The colonel gave the order.;noun;عقيد;m;;colonel;;;
1074;allerdings;however / though;Das ist möglich, allerdings schwierig.;That is possible, but difficult.;adverb;بس / لكن / فعلاً (حسب السياق);;;but;;;
1075;erfüllt;fulfilled / met;Der Wunsch wurde gerade erfüllt.;The wish was fulfilled just now.;adjective;متحقّق / نفّذ / حقّق;;;fulfilled;;;
1076;Operation;operation / surgery;Die Operation war echt erfolgreich.;The surgery was really successful.;noun;عملية (جراحية) / عملية (عسكرية);f;;surgery;;;
1077;Vorschlag;suggestion;Das ist echt ein guter Vorschlag.;That is really a good suggestion.;noun;اقتراح;m;;suggestion;;;
1078;riesige;huge;Das ist eine riesige Chance.;That is a huge opportunity.;adjective;ضخمة / كبيرة قوي;;;huge;;;
1079;Richter;judge;Der Richter hat entschieden.;The judge has decided.;noun;قاضي;m;;judge;;;
1080;Abendessen;dinner;Das Abendessen ist echt bereit.;Dinner is really ready.;noun;العشا;n;;Dinner;;;
