english,article,german,plural,Example 1,Example 2,Example 3
list,die,Liste,Listen,Er schreibt eine Liste.,Die Liste ist lang.,Viele Namen stehen auf der Liste.
solution,die,Lösung,Lösungen,Die Lösung ist einfach.,Er sucht nach einer Lösung.,Jede Aufgabe hat eine Lösung.
opinion,die,Meinung,Meinungen,Er sagt seine Meinung.,Die Meinung ist wichtig.,Viele Menschen haben eine andere Meinung.
round / lap,die,Runde,Runden,Wir spielen eine Runde Karten.,Die Runde ist vorbei.,In der nächsten Runde gewinnt er.
step,der,Schritt,Schritte,Er macht einen Schritt nach vorn.,Schritt für Schritt lernt man.,Der Schritt ist klein.
summer,der,Sommer,Sommer,Der Sommer ist heiß.,Im Sommer fahren wir ans Meer.,Der Sommer beginnt im Juni.
language / speech,die,Sprache,Sprachen,Die deutsche Sprache ist schwer.,Er lernt eine neue Sprache.,Sprache verbindet Menschen.
participant,der,Teilnehmer,Teilnehmer,Die Teilnehmer sind pünktlich.,Jeder Teilnehmer bekommt ein Heft.,Viele Teilnehmer sind da.
text,der,Text,Texte,Der Text ist lang.,Sie liest den Text laut.,Er schreibt einen Text.
theater,das,Theater,Theater,Das Theater ist voll.,Wir gehen ins Theater.,Das Theaterstück war spannend.
animal,das,Tier,Tiere,Das Tier schläft.,Viele Tiere leben im Zoo.,Er füttert ein Tier.
support,die,Unterstützung,Unterstützungen,Er braucht Unterstützung.,Vielen Dank für deine Unterstützung.,Die Unterstützung kommt sofort.
publisher,der,Verlag,Verlage,Das Buch erscheint im Verlag.,Der Verlag ist bekannt.,Viele Verlage gibt es in Deutschland.
contract / treaty,der,Vertrag,Verträge,Der Vertrag ist gültig.,Er unterschreibt den Vertrag.,Der Vertrag endet morgen.
representative (male),der,Vertreter,Vertreter,Der Vertreter besucht die Firma.,Viele Vertreter reisen viel.,Er spricht mit dem Vertreter.
representative (female),die,Vertreterin,Vertreterinnen,Die Vertreterin erklärt das Produkt.,Viele Vertreterinnen arbeiten hier.,Die Vertreterin ist freundlich.
board / chair,der,Vorstand,Vorstände,Der Vorstand trifft eine Entscheidung.,Viele Mitglieder sitzen im Vorstand.,Der Vorstand ist neu gewählt.
apartment / flat,die,Wohnung,Wohnungen,Die Wohnung ist groß.,Er sucht eine neue Wohnung.,Viele Wohnungen sind teuer.
graduation / degree,der,Abschluss,Abschlüsse,Der Abschluss ist geschafft.,Sie feiert ihren Abschluss.,Der Abschluss der Arbeit war schwer.
complex / attachment,die,Anlage,Anlagen,Die Anlage ist modern.,Er investiert in eine Anlage.,Die Anlage produziert Strom.
application,der,Antrag,Anträge,Er stellt einen Antrag.,Der Antrag ist genehmigt.,Viele Anträge liegen auf dem Tisch.
answer,die,Antwort,Antworten,Er gibt eine Antwort.,Die Antwort ist richtig.,Ich warte auf deine Antwort.
workplace,der,Arbeitsplatz,Arbeitsplätze,Der Arbeitsplatz ist sicher.,Er verliert seinen Arbeitsplatz.,Der Arbeitsplatz liegt in der Stadt.
assignment / job,der,Auftrag,Aufträge,Er bekommt einen Auftrag.,Der Auftrag ist wichtig.,Der Auftrag wird erledigt.
district,der,Bezirk,Bezirke,Der Bezirk ist groß.,Viele Menschen wohnen in diesem Bezirk.,Der Bezirk wählt einen neuen Bürgermeister.
brother,der,Bruder,Brüder,Mein Bruder ist älter.,Der Bruder hilft mir.,Viele Brüder leben zusammen.
lady,die,Dame,Damen,Die Dame trägt ein Kleid.,Eine alte Dame sitzt im Park.,Die Dame spricht leise.
date / data,das,Datum,Daten,Das Datum steht im Kalender.,Welches Datum haben wir heute?,Bitte schreiben Sie das Datum auf.
service,der,Dienst,Dienste,Er hat heute Dienst.,Der Dienst beginnt um acht Uhr.,Nach dem Dienst geht er nach Hause.
institution / setup,die,Einrichtung,Einrichtungen,Die Einrichtung ist modern.,Er arbeitet in einer sozialen Einrichtung.,Viele Einrichtungen helfen Menschen.
expert (female),die,Expertin,Expertinnen,Die Expertin erklärt das Problem.,Viele Expertinnen arbeiten hier.,Er fragt die Expertin um Rat.
expert (male),der,Experte,Experten,Der Experte kennt die Antwort.,Viele Experten sind da.,Der Experte gibt einen Tipp.
fire department,die,Feuerwehr,Feuerwehren,Die Feuerwehr kommt schnell.,Er ruft die Feuerwehr.,Die Feuerwehr löscht das Feuer.
god,der,Gott,Götter,Er glaubt an Gott.,Gott sei Dank!,Viele Menschen beten zu Gott.
institute,das,Institut,Institute,Er arbeitet in einem Institut.,Das Institut ist bekannt.,Viele Studenten forschen im Institut.
colleague (male),der,Kollege,Kollegen,Er spricht mit einem Kollegen.,Der Kollege hilft ihm.,Viele Kollegen sind freundlich.
colleague (female),die,Kollegin,Kolleginnen,Die Kollegin erklärt die Aufgabe.,Er arbeitet mit einer Kollegin.,Viele Kolleginnen sind fleißig.
leadership / management,die,Leitung,Leitungen,Die Leitung übernimmt Frau Müller.,Die Leitung des Projekts ist schwer.,Die Leitung trifft eine Entscheidung.
organization,die,Organisation,Organisationen,Die Organisation ist international.,Viele Organisationen helfen Menschen.,Die Organisation arbeitet gut.
lock / castle,das,Schloss,Schlösser,Das Schloss ist alt.,Viele Touristen besuchen das Schloss.,Das Schloss liegt am Fluss.
safety / security,die,Sicherheit,Sicherheiten,Die Sicherheit ist wichtig.,Er sorgt für Sicherheit.,Das Kind braucht Sicherheit.
female soldier,die,Soldatin,Soldatinnen,Die Soldatin trägt eine Uniform.,Viele Soldatinnen arbeiten im Ausland.,Die Soldatin spricht mit der Presse.
male soldier,der,Soldat,Soldaten,Der Soldat marschiert.,Viele Soldaten sind im Einsatz.,Der Soldat trägt eine Waffe.
campaign,die,Kampagne,Kampagnen,Die Kampagne beginnt heute.,Viele Menschen unterstützen die Kampagne.,Die Kampagne ist politisch.
accident,der,Unfall,Unfälle,Der Unfall passiert auf der Straße.,Beim Unfall gab es Verletzte.,Er hatte einen schweren Unfall.
patient (male),der,Patient,Patienten,Der Patient wartet im Krankenhaus.,Viele Patienten sind krank.,Der Patient spricht mit dem Arzt.
patient (female),die,Patientin,Patientinnen,Die Patientin liegt im Bett.,Die Patientin fühlt sich besser.,Viele Patientinnen kommen heute.
position / stance,die,Position,Positionen,Die Position ist wichtig.,Er sucht eine neue Position.,Die Position im Team ist klar.
publication,die,Publikation,Publikationen,Die Publikation erscheint morgen.,Viele Publikationen sind online.,Er liest eine wissenschaftliche Publikation.
reality,die,Realität,Realitäten,Die Realität ist hart.,Er kennt die Realität.,Viele träumen von einer anderen Realität.
reaction,die,Reaktion,Reaktionen,Die Reaktion war schnell.,Er zeigt keine Reaktion.,Viele lachen über seine Reaktion.
rule,die,Regel,Regeln,Die Regel ist wichtig.,Jede Schule hat Regeln.,Er erklärt die Regel.
result,das,Resultat,Resultate,Das Resultat ist klar.,Er wartet auf das Resultat.,Das Resultat ist überraschend.
scandal,der,Skandal,Skandale,Der Skandal ist groß.,Alle Zeitungen berichten über den Skandal.,Der Skandal betrifft viele Politiker.
damage,der,Schaden,Schäden,Der Schaden ist groß.,Er meldet den Schaden.,Der Unfall verursacht viel Schaden.
knowledge,das,Wissen,—,Wissen ist Macht.,Er hat viel Wissen.,Das Wissen hilft ihm.
witness (male),der,Zeuge,Zeugen,Der Zeuge erzählt die Wahrheit.,Die Polizei befragt den Zeugen.,Der Zeuge erkennt den Täter.
witness (female),die,Zeugin,Zeuginnen,Die Zeugin berichtet alles.,Viele Zeuginnen sind im Gericht.,Die Polizei schützt die Zeugin.
intention / purpose,die,Absicht,Absichten,Er hat die Absicht zu helfen.,Die Absicht ist klar.,Mit guter Absicht beginnt er das Projekt.
department,das,Department,Departments,Das Department ist groß.,Er arbeitet im Department.,Viele Studenten gehören zu diesem Department.
detail,das,Detail,Details,Das Detail ist wichtig.,Er erklärt jedes Detail.,Viele Details fehlen noch.
dispute,der,Streit,Streite / Streits,Der Streit ist laut.,Viele Kinder haben einen Streit.,Der Streit endet schnell.
dream,der,Traum,Träume,Ich habe einen Traum.,Der Traum war schön.,Viele Menschen verfolgen einen Traum.
health,die,Gesundheit,—,Die Gesundheit ist wichtig.,Er achtet auf seine Gesundheit.,Sport stärkt die Gesundheit.
industry,die,Industrie,Industrien,Die Industrie wächst schnell.,Viele Menschen arbeiten in der Industrie.,Die Industrie produziert Waren.
innovation,die,Innovation,Innovationen,Die Innovation ist neu.,Viele Firmen fördern Innovation.,Innovation bringt Fortschritt.
intelligence,die,Intelligenz,—,Intelligenz ist wichtig.,Er zeigt hohe Intelligenz.,Tiere besitzen auch Intelligenz.
interview,das,Interview,Interviews,Das Interview ist im Fernsehen.,Er gibt ein Interview.,Das Interview dauert zehn Minuten.
investment,die,Investition,Investitionen,Die Investition ist hoch.,Er macht eine Investition.,Viele Investitionen lohnen sich.
job,der,Job,Jobs,Er sucht einen Job.,Der Job ist interessant.,Viele Studenten haben einen Job.
crisis,die,Krise,Krisen,Die Krise ist groß.,Viele Länder haben eine Krise.,Er spricht über die Krise.
kitchen,die,Küche,Küchen,Die Küche ist sauber.,Er arbeitet in der Küche.,Italienische Küche ist beliebt.
course (academic),der,Kurs,Kurse,Der Kurs beginnt morgen.,Viele Studenten besuchen den Kurs.,Der Kurs ist interessant.
climate,das,Klima,Klimata / Klimas,Das Klima ist warm.,Viele Länder haben ein anderes Klima.,Das Klima verändert sich.
class,die,Klasse,Klassen,Die Klasse ist laut.,Viele Kinder sind in der Klasse.,Er lernt mit seiner Klasse.
coalition,die,Koalition,Koalitionen,Die Koalition regiert das Land.,Die Parteien bilden eine Koalition.,Die Koalition arbeitet zusammen.
conflict,der,Konflikt,Konflikte,Der Konflikt ist alt.,Der Konflikt dauert lange.,Beide Seiten wollen den Konflikt lösen.
continent,der,Kontinent,Kontinente,Europa ist ein Kontinent.,Afrika ist ein großer Kontinent.,Jeder Kontinent hat viele Länder.
copy,die,Kopie,Kopien,Ich mache eine Kopie.,Die Kopie ist klar.,Er braucht eine Kopie des Dokuments.
body,der,Körper,Körper,Der Körper ist stark.,Er bewegt seinen Körper.,Der Körper braucht Ruhe.
user,der,Nutzer,Nutzer,Der Nutzer meldet sich an.,Viele Nutzer sind online.,Der Nutzer hat ein Problem.
attempt / try,der,Versuch,Versuche,Der Versuch ist gelungen.,Er macht einen Versuch.,Der Versuch war wichtig.
responsibility,die,Verantwortung,Verantwortungen,Er trägt Verantwortung.,Die Verantwortung ist groß.,Jeder hat Verantwortung.
promise,das,Versprechen,Versprechen,Er gibt ein Versprechen.,Das Versprechen ist wichtig.,Viele halten ihr Versprechen nicht.
loss,der,Verlust,Verluste,Der Verlust ist groß.,Sie weint über den Verlust.,Der Verlust kostet viel Geld.
trust,das,Vertrauen,—,Er hat Vertrauen in sie.,Vertrauen ist wichtig.,Sie verliert das Vertrauen.
administration,die,Verwaltung,Verwaltungen,Die Verwaltung ist langsam.,Er arbeitet in der Verwaltung.,Die Verwaltung des Hauses ist gut.
understanding,das,Verständnis,Verständnisse,Er zeigt Verständnis.,Vielen Dank für Ihr Verständnis.,Verständnis ist wichtig.
distribution,die,Verteilung,Verteilungen,Die Verteilung ist fair.,Er kümmert sich um die Verteilung.,Die Verteilung dauert lange.
use / application,die,Verwendung,Verwendungen,Die Verwendung ist einfach.,Er erklärt die Verwendung.,Viele Geräte haben keine Verwendung mehr.
delay,die,Verspätung,Verspätungen,Der Zug hat Verspätung.,Wegen der Verspätung kommt er zu spät.,Die Verspätung dauert lange.
insurance,die,Versicherung,Versicherungen,Ich habe eine neue Versicherung abgeschlossen.,Die Versicherung übernimmt den Schaden.,Er arbeitet bei einer Versicherung.
connection,die,Verbindung,Verbindungen,Die Verbindung ist gerade sehr schlecht.,Wir stehen in Verbindung.,Es gibt eine direkte Verbindung nach Hamburg.
process,der,Vorgang,Vorgänge,Der Vorgang wird noch bearbeitet.,Bitte dokumentieren Sie den Vorgang.,Der Vorgang dauert nur wenige Minuten.
condition / requirement,die,Voraussetzung,Voraussetzungen,Deutschkenntnisse sind eine wichtige Voraussetzung.,Er erfüllt alle Voraussetzungen.,Teamarbeit ist Voraussetzung für den Job.
advantage,der,Vorteil,Vorteile,"Der Vorteil ist, dass es schnell geht.",Sie hat einen klaren Vorteil.,Das ist für uns von Vorteil.
precaution / provision,die,Vorsorge,Vorsorgen,Er trifft Vorsorge für das Alter.,Sie geht zur Vorsorgeuntersuchung.,Finanzielle Vorsorge ist wichtig.
imagination / idea,die,Vorstellung,Vorstellungen,Die Vorstellung beginnt um acht Uhr.,Er hat eine falsche Vorstellung.,Die Vorstellung im Theater war toll.
supervisor / presenter,der,Vorsteller,Vorsteller,Der Vorsteller erklärt das Projekt.,Der Vorsteller spricht vor vielen Leuten.,Der Vorsteller beantwortet Fragen.
perception,die,Wahrnehmung,Wahrnehmungen,Die Wahrnehmung ist subjektiv.,Kinder haben eine andere Wahrnehmung.,Er verliert die Wahrnehmung der Zeit.
commodity / good,das,Ware,Waren,Die Ware ist teuer.,Viele Waren liegen im Regal.,Die Ware kommt aus dem Ausland.
warning,die,Warnung,Warnungen,Er gibt eine Warnung.,Die Warnung ist ernst.,Viele ignorieren die Warnung.
change,der,Wechsel,Wechsel,Der Wechsel ist schwer.,Er macht einen Wechsel.,Der Wechselkurs ist hoch.
contradiction,der,Widerspruch,Widersprüche,Es gibt einen Widerspruch.,Er legt Widerspruch ein.,Der Widerspruch ist deutlich.
resistance,der,Widerstand,Widerstände,Der Widerstand ist stark.,Viele Menschen leisten Widerstand.,Der Widerstand bricht zusammen.
competition,der,Wettbewerb,Wettbewerbe,Der Wettbewerb ist hart.,Viele nehmen am Wettbewerb teil.,Der Wettbewerb findet jährlich statt.
effect,die,Wirkung,Wirkungen,Die Wirkung ist stark.,Das Medikament hat eine Wirkung.,Viele spüren die Wirkung sofort.
miracle,das,Wunder,Wunder,Es ist ein Wunder.,Viele hoffen auf ein Wunder.,Ein kleines Wunder passiert.
certificate,das,Zeugnis,Zeugnisse,Er bekommt ein gutes Zeugnis.,Das Zeugnis ist wichtig.,Viele Schüler warten auf ihr Zeugnis.
room,das,Zimmer,Zimmer,Das Zimmer ist groß.,Sie schläft im Zimmer.,Das Zimmer hat ein Fenster.
number / digit,die,Ziffer,Ziffern,Die Ziffer ist klein.,Er schreibt die Ziffer fünf.,Viele Ziffern stehen an der Tafel.
center,das,Zentrum,Zentren,Die Stadt hat ein Zentrum.,Im Zentrum gibt es viele Geschäfte.,Wir treffen uns im Zentrum.
access,der,Zugang,Zugänge,Der Zugang ist frei.,Er hat keinen Zugang zum Internet.,Der Zugang zum Gebäude ist gesperrt.
train station,der,Bahnhof,Bahnhöfe,Der Zug kommt am Bahnhof an.,Viele Leute warten am Bahnhof.,Wir treffen uns am Bahnhof.
fence,der,Zaun,Zäune,Der Zaun ist hoch.,Er springt über den Zaun.,Der Hund läuft am Zaun entlang.
anger,der,Zorn,—,Er spricht mit Zorn.,Sein Zorn ist groß.,Zorn macht blind.
tongue,die,Zunge,Zungen,Die Zunge ist rot.,Er zeigt die Zunge.,Mit der Zunge schmeckt man.
doubt,der,Zweifel,Zweifel,Er hat Zweifel.,Viele Zweifel bleiben.,Ohne Zweifel ist das wahr.
certificate / document,die,Urkunde,Urkunden,Er bekommt eine Urkunde.,Die Urkunde hängt an der Wand.,Jede Urkunde ist unterschrieben.
time period,der,Zeitraum,Zeiträume,Der Zeitraum ist kurz.,Im Zeitraum von zwei Jahren.,Der Zeitraum endet bald.
newspaper article,der,Zeitungsartikel,Zeitungsartikel,Der Zeitungsartikel ist interessant.,Sie liest den Zeitungsartikel.,Viele Zeitungsartikel sind lang.
bill / invoice,die,Rechnung,Rechnungen,Die Rechnung ist hoch.,Er bezahlt die Rechnung.,Die Rechnung kommt per Post.
journey / trip,die,Reise,Reisen,Die Reise dauert lange.,Er macht eine Reise nach Berlin.,Die Reise war schön.
series,die,Serie,Serien,Die Serie ist spannend.,Er schaut eine Serie im Fernsehen.,Viele Serien sind beliebt.
shadow,der,Schatten,Schatten,Der Schatten ist lang.,Ein Baum wirft Schatten.,Im Schatten ist es kühl.
actor (male),der,Schauspieler,Schauspieler,Der Schauspieler ist bekannt.,Viele Schauspieler leben in Hollywood.,Der Schauspieler spielt gut.
actor (female),die,Schauspielerin,Schauspielerinnen,Die Schauspielerin ist jung.,Viele Schauspielerinnen arbeiten im Theater.,Die Schauspielerin lacht.
protection,der,Schutz,—,Der Schutz ist wichtig.,Er sucht Schutz vor dem Regen.,Schutz ist nötig.
step / level,die,Stufe,Stufen,Die Stufe ist hoch.,Er steht auf der ersten Stufe.,Viele Stufen führen nach oben.
change,die,Veränderung,Veränderungen,Die Veränderung ist groß.,Er bemerkt eine Veränderung.,Viele haben Angst vor Veränderung.
association,der,Verband,Verbände,Der Verband ist stark.,Er trägt einen Verband.,Viele Firmen sind im Verband.
arrest,die,Verhaftung,Verhaftungen,Die Verhaftung war überraschend.,Die Polizei meldet eine Verhaftung.,Nach der Verhaftung kommt der Prozess.
negotiation,die,Verhandlung,Verhandlungen,Die Verhandlung dauert lange.,Die Verhandlung beginnt morgen.,Beide Parteien führen eine Verhandlung.
publication,die,Veröffentlichung,Veröffentlichungen,Die Veröffentlichung ist neu.,Das Buch steht vor der Veröffentlichung.,Viele warten auf die Veröffentlichung.
relation,das,Verhältnis,Verhältnisse,Das Verhältnis ist gut.,Er erklärt das Verhältnis.,Viele haben ein schlechtes Verhältnis.
change,der,Wandel,Wandel,Der Wandel ist deutlich.,Er erlebt einen Wandel.,Gesellschaftlicher Wandel ist wichtig.
